Score,Do you know about Internet (Cyber) Crime?,Cyber Crime (Internet Crime) is ,Cyber Crime also leads to,What do you think about the most probable reason of cyber attack?,How many hours you use Smartphone in a day?,Your Age Group,Studying or Working or Not Working,Have you attended any seminar or webinar or workshop on Cyber Crime and Security Awareness?,Are you aware about Cyber Crime Safety Precautions tips?,Do you know where to file an Internet (Cyber) Crime Complaint?,Have you ever been victim of Cyber Crime?,Any type of Cyber Crime happened with you?,Did you loose any money?,Did you file complaint?,Why did you not file the complaint?,Where did you file the complaint?,Was your complaint resolved?,What is the status of Complaint,What mistakes made by the person as shown in the poster?,What is the Learning from Pencil Packaging Job Scam,What wrong Mohan did?,Does ever Bank call you for such detail ?,How will you define social media cloning?,What is the learning from this story,"You receive a friend request on Facebook on the name of your school  female friend and a beautiful smart profile picture, what will you do?","In the above video, what mistake the person did? ",What happens in Honey Trapped Video Call?,What safety precautions people should take to prevent honey trapped?,What mistake Harshita Did?,"You have decided to sell your old laptop on OLX. You add the item on OLX and soon one buyer shown an interest to buy your laptop and he also confirms the deal. He ask you to click on the link to receive the payment, what will you do? ","You are travelling on a holiday trip and suddenly you come to know that a fraudulent transaction happened in your account, what will you do? ","In the above video, what mistake he did","There is a power cut at home and suddenly you receive a call that says your power has been cut due to non payment of electricity bill and he ask to click on the link and pay the bill, what will you do?","You have received an audio message with some documents and voice notes that you have won the 35 Lakhs Rs of lottery from Kaun Banega Crorepati (KBC), what will you do?",How to take precautions when you receive such kind of lottery emails or disease treatment help or WhatsApp message?,"You receive a message on WhatsApp that a new startup company is offering you a new launched mobile phone at huge discount, Limited Stock, buy it before it stock out, what will you do?",What necessary precautions we should take while shopping online?,"Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Learning]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Usefulness ]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Presentation of Training Questions (Clear & Organized)]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Relevance of Information Provided in the Cyber Training]",Has this cyber training program helped you to enhance your knowledge on Cyber Crime Awareness and Safety Precautions?,How likely will you recommend this cyber training program in your family and friends circle? [Family],How likely will you recommend this cyber training program in your family and friends circle? [Friends],How likely will you recommend this cyber training program in your family and friends circle? [Others],Would you like to participate in the Workshop/Webinar/Seminar on Cyber Crime Awareness?,Would you like to participate in the Cyber Champion Ambassador Program of College/City/State/National Level to create awareness on Cyber Crime and Safety Precautions?,Any valuable suggestion or feedback to improve this training module on Cyber Crime Awareness,Gender,State,How did you come to know about this Cyber Training Program?,"You are getting multiple calls of a person who is abusing or harassing you over the phone, what will you do?","You come to know that someone posted your personal photos on social media and then you receive a call from unknown person (True Caller is displaying the name Criminal Lawyer Advocate), and he says that a complain has been registered against you and you have been asked to pay 5000 Rs to settle down the case, what will you do?",Have you enabled the two factor authentication on your Gmail or other email account?,"Have you enabled the two factor authentication for your Social Media (Facebook/Instagram/Twitter/Linkdein/
WhatsApp/SnapChat) account?",Which of the following option indicates the strong password,"If you are studying or working, write down the name of school or college or university or workplace",How many hours you use Laptop or Computer in a day ?,When do you spend your maximum time on Smartphone?,Your Internet data is always (24*7 even during sleep) ON  or SWITCH ON only when it is required ? ,"If Cyber Crime happened with you, when did it happen?","Have you ever attended ""Online Training on Cyber Crime Awareness"" organized by CollCom before?",Did you loose any money?.1
100,Yes,All of the above,All of the above,Human Negligence,Not more than 2 hours in day,16-21 Years,UG,No,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,No.,Female,Madhya Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,#Sohan@27!,Govt. Vikram college Khachrod ,Not more than 2 hours in day,In Afternoon,I switch ON internet only when it is required,Not Applicable,Yes,
64,No,Stealing personal information,All of the above,Human Negligence,More than 12 hours,16-21 Years,Not Working (Home Maker),No,I don't have any knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,C. Report the fraudulent account to social media and also file a cyber complaint,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will click on the link and make the payment,You will inform my all friends and celebrate,All of the above,Both A & B,"Do not easily trust Sales Offered on Social Media , must verify the source",Poor,Poor,Very Good,Very Good,Maybe,Somewhat Likely,Somewhat Likely,Somewhat Likely,Yes,Yes,Sayabar jagruktamesavdhaniya par apna gyan lene,Female,Madhya Pradesh,College/School Notification,File a cyber complaint on www.cybercrime.gov.in,Will ignore the call,No,No,12345#,Shanskiya vikram mahavidhyalay khachrod,More than 12 hours,In Evening,I do not use/have smart phone.,During Travelling,No,
96,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,16-21 Years,UG,Yes,I have good knowledge,Yes,No,"Online Video Call Sexotortion Fraud, Online Shopping Fraud, Online Customer Helpline Fruad, ",I did not loose any money,"Yes, I filed the complaint.",,Dialed 100,Yes,Complaint was closed without any investigation,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will inform my all friends and celebrate,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Very Good,Very Good,Yes,Somewhat Likely,Somewhat Likely,Not Likely,Yes,Maybe,Yes,Female,Madhya Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Yes,4-6 Hours in a day,In Afternoon,I do not use/have smart phone.,"During Attending Party or any kind of Functions, ",No,
84,Yes,All of the above,Defamation of an individual on social media,Human Negligence,4-6 Hours in a day,16-21 Years,Studying (Competitive Exam Preparation),Yes,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Excellent,Excellent,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Always safely use social media ,Female,Madhya Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,#Sohan@27!,Shaheed bhagat Singh college jaora ,I do not have/use Laptop or Desktop Computer,In Afternoon,I switch ON internet only when it is required,Not Applicable,No,
12,Yes,All of the above,All of the above,Using Internet all the time,More than 12 hours,16-21 Years,Not Working (Home Maker),Yes,I have good knowledge,Yes,Yes,Online Romance Fraud,less than 5000,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,He  clicked on the link directly without verifying the authenticity of the message.,2. Reputed Comany Never Ask for Job Processing Fee Payment,b. Shared the card details,Yes,Duplicate the person’s social media profile,B. Make your profile picture and others information visible to your friends only,B. will call and verify whether the Girl is Authentic or Fraud,He did everything right,A recording of the explicit video is used to extort money from the victim,Don’t recieve video call from unknown number,B. She did not verify the authenticity of buyer,C. You will ask buyer to send Cash,B. You will immediately call 1930 cyber crime help line number to file complaint,A. He clicked on the link and made payment,You will refuse and first confirm the bill from electricity department,"Wow! that's a good news, you will celebrate and distribute sweets to everyone",Asked for more further details and verify from the authentic source,A. Will immediately buy the Smart Phone,"Do not easily trust Sales Offered on Social Media , must verify the source",Poor,Excellent,Very Good,Poor,Yes,Not Likely,Not Likely,Not Likely,Yes,Yes,,Female,Madhya Pradesh,College/School Notification,Block the person,Will pay the amount,Yes,Yes,08-01-1992,Ghana kuwar ,10-12 Hours in a day,Just after Wakeup in the morning,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",During Watching Something,Yes,
92,Yes,All of the above,All of the above,All of the above,6-8 hours in a day,16-21 Years,Not Working (Others),No,I have little knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Maybe,Maybe,,Female,Madhya Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,08-01-1992,Not working,I do not have/use Laptop or Desktop Computer,In Afternoon,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
12,Yes,"Spreading the virus, Spreading rumours on social networking sites",Physical or sexual abuse,All of the above,2 -4 Hours in a day,16-21 Years,Working (Govt.),Yes,I don't have any knowledge,No,No,Online Video Call Sexotortion Fraud,5000-20000,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,He  clicked on the link directly without verifying the authenticity of the message.,2. Reputed Comany Never Ask for Job Processing Fee Payment,c. Clicked on the Link,I do not know,Duplicate the person’s social media profile,B. Make your profile picture and others information visible to your friends only,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",Both a and b,All of the above,Don’t recieve video call from unknown number,A. She clicked on the link to receive the payment,B. You will refuse to click on the link,C. You will ignore the fraudulent transaction and focus on enjoying the trip,D. He has done nothing wrong,You will click on the link and make the payment,You will call back to the person and share the banking details to claim the Lottery amount,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,Both A & B,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Very Good,Poor,Excellent,No,Not Likely,Somewhat Likely,Very Likely,Yes,No,This is wonderful news and about to head to work with injoy your day,Female,Madhya Pradesh,WhatsApp Group,Block the person,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,08-01-1992,"If you are not working,just write"" not working""",2 -4 Hours in a day,In Evening,I switch ON internet only when it is required,Not Applicable,No,
52,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,16-21 Years,School (10 or 11 or 12th Standard),Yes,I have little knowledge,Yes,Yes,"Lottery Fraud, WhatsApp Account Hacked, Gmail Account Hacked",I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,He  clicked on the link directly without verifying the authenticity of the message.,2. Reputed Comany Never Ask for Job Processing Fee Payment,both b and c,No,Option A and B,Both B and C,B. will call and verify whether the Girl is Authentic or Fraud,Both a and b,A recording of the explicit video is used to extort money from the victim,Don’t accept friend requests from unknown while looking only smart picture,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will share the Card Details and CVV to clear the dues,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,Both A & B,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Very good training ,Male,Chhattisgarh,Youtube,Inform to parent and discuss the matter,Will ignore the call,Yes,No,#Sohan@27!,Government high secondary school ramhepur,Not more than 2 hours in day,In Afternoon,"I always keep my Internet ON (24*7 , Even During Sleeping Time)","Not Applicable, During Travelling",Yes,
52,Yes,"Software piracy, Fake bank call",Damage our reputation,All of the above,Not more than 2 hours in day,16-21 Years,UG,Yes,I have good knowledge,No,Yes,"Online Romance Fraud, Fraud Call, Lottery Fraud, Kaun Banega Crorepati (KBC) Fraud, Bill Payment Fraud, Online Gaming Fraud, Job Offer Fraud, Part Time Job/Work From Home Fraud, Social Media Account Hacked, WhatsApp Account Hacked, Gmail Account Hacked, Fake Govt Scheme Fraud, Fake Loan Offer Fraud, Cyber Bullying, Trolling on Social Media, Courier Lottery Fraud, Online Shopping Fraud, Online Customer Helpline Fruad, Not happened any crime, no",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,a. He verified the caller,I do not know,Making another social media platform,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,D. He has done nothing wrong,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Checked the source of the call or email and will verify the authenticity,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Somewhat Likely,Yes,Yes,no ,Female,Madhya Pradesh,College/School Notification,Block the person,Will ignore the call,Yes,Yes,#Sohan@27!,not working,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,Yes,
64,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,UG,No,I have good knowledge,No,Yes,Fraud Call,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,3. Always apply for the Job only from the Authetic Website of the Company,c. Clicked on the Link,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,C. She did everything right,D. B & C both,D. A & B both,D. He has done nothing wrong,You will simply follow the instructions of caller,You will call back to the person and share the banking details to claim the Lottery amount,All of the above,Both A & B,All of the Above!,Excellent,Excellent,Excellent,Excellent,Maybe,Very Likely,Very Likely,Very Likely,Maybe,Maybe,,Male,Bihar,WhatsApp Group,All of the Above,Will ignore the call,No,No,#Sohan@27!,IIT MADRAS,2 -4 Hours in a day,In the Night before Sleep,I switch ON internet only when it is required,In the Evening,No,
